You entered a buffer length of 100
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.028627, 0.703229, 0.779039, -0.038309, 0.958601, 0.130319, 0.021669, 0.656839, 0.649393, 0.021669, 0.656839, 0.649393
0.029116, -0.831777, 0.562595, 0.000773, -0.290959, 0.824298, 0.054874, 0.002869, 0.556980, 0.054874, -0.824574, 0.556980
-0.031069, -0.807361, -0.504486, 0.008284, -0.922051, -0.007697, 0.019960, 0.002869, 0.017762, -0.034731, -0.801502, -0.487151
0.031923, 0.391687, -0.993530, 0.052782, -0.325586, -0.848741, 0.067936, 0.354087, 0.017762, -0.011048, 0.354087, -0.971312
0.041690, 1.128792, 0.330281, 0.084810, 0.800180, -0.456050, 0.086126, 1.104865, 0.302448, 0.086126, 1.104865, 0.302448
0.043887, -0.470915, 0.917842, 0.073106, 0.420468, 0.791840, 0.031435, 0.065739, 0.947995, -0.006653, -0.388879, 0.947995
0.006775, -0.809559, -0.691509, 0.006211, -0.832771, 0.205984, 0.008729, 0.065739, 0.157175, -0.012513, -0.752182, -0.678569
-0.029848, 0.777696, -0.622414, -0.004734, 0.229492, -0.853021, 0.004334, 0.798938, 0.157175, -0.002991, 0.798938, -0.634865
