You entered a buffer length of 100
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.438198, 0.899530, -0.075749, -0.112850, 0.993994, -0.063887, 0.003113, 0.923457, 0.000000, -0.425868, 0.923457, -0.070378
-0.894159, 0.482024, -0.020082, -0.698623, 0.694773, -0.065417, 0.003113, 0.490081, 0.000000, -0.892449, 0.490081, -0.022157
-0.727645, 0.711530, 0.012635, -0.930573, 0.321399, -0.078956, 0.003113, 0.705915, 0.009461, -0.746689, 0.705915, 0.009461
-0.099432, 0.990600, 0.063419, -0.399788, 0.910162, 0.008353, 0.003113, 0.999390, 0.068547, -0.104315, 0.999390, 0.068547
0.801502, 0.698346, 0.072697, 0.336920, 0.914891, 0.041256, 0.809314, 0.712263, 0.106391, 0.809314, 0.712263, 0.106391
0.995849, 0.256546, -0.111518, 0.902882, 0.435837, -0.056128, 0.991699, 0.267411, 0.005799, 0.991699, 0.267411, -0.100165
0.075383, 1.097540, 0.001648, 0.522465, 0.794599, -0.034382, 0.108832, 1.079961, 0.007264, 0.108832, 1.079961, 0.007264
