You entered a buffer length of 20
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
0.180492, 0.939205, 0.654032, 0.015113, 0.829689, 0.630989, 0.050479, 0.724470, 0.726180, -0.018006, 0.724470, 0.726180
0.090032, 0.914546, 0.668193, 0.005744, 0.817311, 0.634145, 0.050479, 0.691632, 0.717146, -0.006897, 0.691632, 0.717146
0.113471, 0.901117, 0.663188, -0.000537, 0.803870, 0.642190, 0.050479, 0.645730, 0.829091, -0.035586, 0.645730, 0.829091
0.122383, 0.812000, 0.618995, -0.008637, 0.797021, 0.649557, 0.050479, 0.764146, 0.810535, -0.048526, 0.764146, 0.810535
0.075139, 0.819325, 0.620338, -0.015376, 0.788189, 0.658555, 0.050479, 0.635354, 0.798938, -0.012391, 0.635354, 0.798938
0.052310, 0.787096, 0.591772, -0.019178, 0.778563, 0.671562, 0.050479, 0.626808, 0.880486, -0.000916, 0.626808, 0.880486
0.053409, 0.878289, 0.633156, -0.020649, 0.765531, 0.682158, 0.022890, 0.526460, 0.803699, 0.022890, 0.526460, 0.803699
0.048648, 0.850821, 0.612769, -0.021064, 0.750528, 0.687585, 0.045108, 0.578221, 0.741683, 0.045108, 0.578221, 0.741683
0.064884, 0.852530, 0.632668, -0.023653, 0.732204, 0.697949, 0.045108, 0.484344, 0.820057, -0.003113, 0.484344, 0.820057
-0.241653, 0.793689, 0.870109, -0.025221, 0.704218, 0.708320, 0.033510, 0.292804, 0.840078, 0.033510, 0.292804, 0.840078
0.067204, 0.968992, 0.428066, -0.010663, 0.675981, 0.706641, 0.049502, 0.228957, 0.836538, 0.049502, 0.228957, 0.836538
-0.036196, 0.883416, 0.655375, -0.012098, 0.642196, 0.733834, 0.038516, 0.293292, 0.971922, 0.038516, 0.293292, 0.971922
-0.036196, 0.838735, 0.642556, -0.010572, 0.611304, 0.749325, 0.038516, 0.265580, 0.965208, -0.005677, 0.265580, 0.965208
-0.057193, 0.940548, 0.585668, -0.008075, 0.579418, 0.764610, 0.013734, 0.201001, 0.948239, 0.013734, 0.201001, 0.948239
-0.025331, 0.852042, 0.437099, -0.007953, 0.542361, 0.785790, 0.013734, 0.199414, 1.009278, -0.054752, 0.199414, 1.009278
-0.126411, 0.782091, 0.431484, -0.007465, 0.505378, 0.817829, 0.013734, 0.112373, 1.077886, -0.015565, 0.112373, 1.077886
0.050479, 0.680767, 0.654154, 0.000568, 0.475078, 0.846847, 0.034243, 0.176097, 1.011842, 0.034243, 0.176097, 1.011842
-0.061710, 0.660868, 0.732650, 0.001355, 0.439614, 0.860068, 0.066227, 0.176097, 0.918574, 0.066227, -0.028505, 0.918574
-0.013490, 0.713239, 0.761338, 0.009998, 0.409662, 0.873534, 0.111152, 0.061832, 1.001953, 0.111152, 0.061832, 1.001953
-0.018006, 0.724470, 0.726180, 0.013703, 0.379485, 0.887261, 0.060612, 0.109687, 1.035891, 0.060612, 0.109687, 1.035891
-0.006897, 0.691632, 0.717146, 0.017665, 0.339651, 0.898297, 0.061222, 0.109687, 0.946896, 0.061222, -0.072209, 0.946896
-0.035586, 0.645730, 0.829091, 0.020961, 0.305420, 0.914051, 0.059025, 0.007020, 1.032228, 0.059025, 0.007020, 1.032228
-0.048526, 0.764146, 0.810535, 0.028658, 0.270073, 0.924245, 0.118354, 0.007020, 1.032961, 0.118354, -0.061222, 1.032961
-0.012391, 0.635354, 0.798938, 0.038747, 0.226125, 0.935653, 0.153269, 0.007020, 1.038699, 0.153269, -0.114814, 1.038699
-0.000916, 0.626808, 0.880486, 0.044149, 0.185772, 0.946298, 0.095648, 0.007020, 1.011842, 0.095648, -0.171702, 1.011842
0.022890, 0.526460, 0.803699, 0.051370, 0.149905, 0.953501, 0.143502, 0.007020, 1.024538, 0.143502, -0.090521, 1.024538
0.045108, 0.578221, 0.741683, 0.057901, 0.119856, 0.965629, 0.153513, 0.007020, 1.046268, 0.153513, -0.074528, 1.046268
-0.003113, 0.484344, 0.820057, 0.060630, 0.088122, 0.976897, 0.099676, 0.007020, 0.967039, 0.099676, -0.056461, 0.967039
0.033510, 0.292804, 0.840078, 0.064915, 0.057871, 0.987689, 0.082586, 0.007020, 1.035891, 0.082586, -0.120674, 1.035891
0.049502, 0.228957, 0.836538, 0.070726, 0.028963, 0.999628, 0.149728, 0.007020, 1.078862, 0.149728, -0.285357, 1.078862
0.038516, 0.293292, 0.971922, 0.076952, 0.007361, 1.008619, 0.174022, 0.007020, 1.016358, 0.174022, -0.203076, 1.016358
-0.005677, 0.265580, 0.965208, 0.082964, -0.015962, 1.011323, 0.158762, 0.007020, 1.026003, 0.158762, -0.173167, 1.026003
0.013734, 0.201001, 0.948239, 0.090801, -0.041305, 1.012336, 0.151071, 0.007020, 0.985473, 0.151071, -0.241287, 0.985473
-0.054752, 0.199414, 1.009278, 0.098083, -0.065067, 1.017323, 0.159373, 0.007020, 1.047976, 0.159373, -0.274248, 1.047976
-0.015565, 0.112373, 1.077886, 0.107666, -0.084173, 1.018269, 0.136910, 0.007020, 1.028200, 0.136910, -0.182689, 1.028200
0.034243, 0.176097, 1.011842, 0.115095, -0.101270, 1.015840, 0.133004, 0.007020, 1.029299, 0.133004, -0.229567, 1.029299
