You entered a buffer length of 100
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.008118, 0.989135, 0.232619, -0.008000, 0.988401, 0.233427, 0.000183, 0.991333, 0.234572, -0.005921, 0.991333, 0.234572
-0.006287, 0.990234, 0.233718, -0.008024, 0.988589, 0.233625, 0.000183, 0.990112, 0.233352, -0.009095, 0.990112, 0.233352
-0.006409, 0.985473, 0.236770, -0.007911, 0.988423, 0.233858, 0.000183, 0.989623, 0.234084, -0.010560, 0.989623, 0.234084
-0.009827, 0.986816, 0.232009, -0.007748, 0.988385, 0.233719, 0.000183, 0.987914, 0.232619, -0.005677, 0.987914, 0.232619
-0.007874, 0.989868, 0.234572, -0.007897, 0.988558, 0.233768, 0.000183, 0.986327, 0.233596, -0.007752, 0.986327, 0.233596
-0.006409, 0.988158, 0.231154, -0.007762, 0.988113, 0.233668, 0.000183, 0.988891, 0.234328, -0.006897, 0.988891, 0.234328
