You entered a buffer length of 100
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.084295, 0.802356, 0.351035, -0.067192, 0.494339, 0.691931, 0.081731, 0.909662, 0.000793, -0.018129, 0.909662, -0.157419
0.017518, 0.858512, 0.256668, -0.067093, 0.496242, 0.686908, 0.081731, 0.992675, 0.000793, -0.074406, 0.992675, -0.151193
-0.069523, 0.676128, 0.310261, -0.068563, 0.498496, 0.683378, 0.081731, 1.083867, 0.000793, -0.129463, 1.083867, -0.096380
-0.038760, 0.693219, 0.366905, -0.069188, 0.502420, 0.679452, 0.081731, 1.068486, 0.000793, -0.132027, 1.068486, -0.082341
-0.040347, 0.753891, 0.469328, -0.069504, 0.506039, 0.674777, 0.081731, 1.055179, 0.000793, -0.070378, 1.055179, -0.100531
-0.142160, 0.811878, 0.678081, -0.068995, 0.508880, 0.668876, 0.010560, 1.037966, 0.000793, 0.010560, 1.037966, -0.120796
-0.041812, 1.006226, 0.671855, -0.067597, 0.510771, 0.660356, 0.010560, 1.000977, 0.000793, -0.002380, 1.000977, -0.173900
-0.137154, 0.832265, 0.598730, -0.067557, 0.510388, 0.651463, 0.010560, 0.967894, 0.000793, -0.037783, 0.967894, -0.217482
-0.131783, 0.706769, 0.553806, -0.066546, 0.511541, 0.643154, 0.010560, 0.947629, 0.000793, -0.036074, 0.947629, -0.232131
-0.082219, 0.605567, 0.504730, -0.065644, 0.514001, 0.635693, 0.010560, 0.952756, 0.000793, -0.041568, 0.952756, -0.192334
-0.067326, 0.582128, 0.518159, -0.065818, 0.517650, 0.628549, 0.010560, 0.970457, 0.000793, -0.099676, 0.970457, -0.209669
-0.053531, 0.734969, 0.854728, -0.065736, 0.522257, 0.621085, 0.010560, 1.042849, 0.000793, -0.059147, 1.042849, -0.228224
-0.066105, 0.796863, 0.895135, -0.065445, 0.524712, 0.609648, 0.010560, 0.980468, 0.000793, -0.024355, 0.980468, -0.289019
-0.079778, 0.583593, 0.707502, -0.064964, 0.525757, 0.597054, 0.010560, 0.901361, 0.000793, -0.018006, 0.901361, -0.364219
-0.060001, 0.730941, 0.672343, -0.064667, 0.527771, 0.585274, 0.010560, 0.785021, 0.000793, -0.050113, 0.785021, -0.470549
-0.119453, 0.569920, 0.711286, -0.064220, 0.528311, 0.573249, 0.010560, 0.784899, 0.000793, -0.015321, 0.784899, -0.530123
-0.139596, 0.531343, 0.899896, -0.063084, 0.530235, 0.560153, 0.010560, 0.762315, 0.000793, -0.005799, 0.762315, -0.598364
-0.129830, 0.706037, 0.981322, -0.061039, 0.532196, 0.544794, 0.064884, 0.727400, 0.000793, 0.064884, 0.727400, -0.635964
-0.097601, 0.507905, 0.825063, -0.059495, 0.532338, 0.527986, 0.024599, 0.720320, 0.000793, 0.024599, 0.720320, -0.699445
-0.115058, 0.383751, 0.732894, -0.058016, 0.534415, 0.512344, 0.050235, 0.715559, 0.000793, 0.050235, 0.715559, -0.739120
-0.120308, 0.319050, 0.722151, -0.056802, 0.537735, 0.498265, 0.006409, 0.715803, 0.000793, 0.006409, 0.715803, -0.675029
-0.117744, 0.340902, 0.783434, -0.055742, 0.541466, 0.484936, 0.006409, 0.692120, 0.000793, -0.014344, 0.692120, -0.610816
-0.110175, 0.440884, 0.972288, -0.054531, 0.544397, 0.470622, 0.003357, 0.634011, 0.000793, 0.003357, 0.634011, -0.647928
-0.128853, 0.425502, 1.047244, -0.053355, 0.545081, 0.453986, 0.007386, 0.509247, 0.000793, 0.007386, 0.509247, -0.691265
-0.152536, 0.368125, 1.024049, -0.051950, 0.545494, 0.436029, 0.011658, 0.466764, 0.000793, 0.011658, 0.466764, -0.748520
-0.045474, 0.406336, 0.916010, -0.050241, 0.545426, 0.417370, 0.018373, 0.361411, 0.000793, 0.018373, 0.361411, -0.841787
-0.090765, 0.234572, 0.836050, -0.049920, 0.542876, 0.398765, 0.018373, 0.151315, 0.000793, -0.013368, 0.151315, -0.944577
-0.114814, 0.037539, 0.772203, -0.049152, 0.541583, 0.380717, 0.018373, 0.105292, 0.000793, -0.013978, 0.105292, -0.968748
-0.073064, 0.093451, 0.870353, -0.047823, 0.541333, 0.362922, 0.018129, 0.012513, 0.000793, 0.018129, 0.012513, -1.007203
-0.073430, 0.202954, 1.077641, -0.046956, 0.539379, 0.343013, 0.013612, 0.012513, 0.000793, 0.013612, -0.101996, -1.120613
-0.075749, 0.231643, 1.144662, -0.045979, 0.536343, 0.321068, 0.024232, 0.012513, 0.000793, 0.024232, -0.100653, -1.116828
-0.064884, 0.217848, 1.047244, -0.045000, 0.534107, 0.299293, 0.022157, 0.008118, 0.000793, 0.022157, 0.008118, -1.032839
-0.083196, 0.152780, 1.035891, -0.043992, 0.532504, 0.278743, 0.035952, 0.057560, 0.000793, 0.035952, 0.057560, -1.007813
-0.058903, -0.054264, 0.920283, -0.042778, 0.532055, 0.258633, 0.038149, 0.107856, 0.000793, 0.038149, 0.107856, -0.975096
-0.072697, -0.131905, 0.897210, -0.042147, 0.533255, 0.239656, 0.004212, 0.065739, 0.000793, 0.004212, 0.065739, -0.977416
-0.061954, -0.072819, 1.062992, -0.041399, 0.535152, 0.220845, 0.002136, 0.057804, 0.000793, 0.002136, 0.057804, -0.983886
-0.077947, 0.098212, 1.231459, -0.040988, 0.535964, 0.200221, 0.002136, 0.008362, 0.000793, -0.020814, 0.008362, -0.999390
-0.048160, -0.013612, 1.078618, -0.040848, 0.534760, 0.177774, 0.002136, 0.008362, 0.000793, -0.064030, -0.022157, -1.013184
-0.056827, -0.143014, 0.967771, -0.040553, 0.534052, 0.156861, 0.002136, 0.008362, 0.000793, -0.018617, -0.084417, -1.012696
-0.064396, -0.125801, 0.994384, -0.040562, 0.534797, 0.136811, 0.002136, 0.008362, 0.000793, -0.057682, -0.068547, -1.037234
-0.070134, -0.098456, 1.058475, -0.040634, 0.535095, 0.116651, 0.002136, 0.008362, 0.000793, -0.071599, -0.096014, -1.021608
-0.092718, -0.028871, 1.172984, -0.040612, 0.534651, 0.095459, 0.002136, 0.008362, 0.000793, -0.067936, -0.142892, -1.060795
-0.095648, 0.016786, 1.226210, -0.040422, 0.533606, 0.073114, 0.002136, 0.008362, 0.000793, -0.073796, -0.133370, -1.061527
-0.090276, 0.056461, 1.198132, -0.040004, 0.532404, 0.050517, 0.002136, 0.008362, 0.000793, -0.053775, -0.103339, -1.033449
-0.117622, -0.142526, 1.020143, -0.039651, 0.530945, 0.028544, 0.002136, 0.008362, 0.000793, -0.054996, -0.089422, -0.999145
-0.143502, -0.268144, 0.908808, -0.039040, 0.531848, 0.007873, 0.002136, 0.008362, 0.000793, -0.056583, -0.052310, -1.047000
-0.146676, -0.256791, 0.936886, -0.038214, 0.533646, -0.011412, 0.002136, 0.008362, 0.000793, -0.060856, -0.088323, -1.019655
-0.100409, -0.069035, 1.089117, -0.037417, 0.534779, -0.031232, 0.002136, 0.008362, 0.000793, -0.066960, -0.143502, -1.045169
-0.083196, 0.033266, 1.214491, -0.037092, 0.534372, -0.052283, 0.002136, 0.008362, 0.000793, -0.067936, -0.109687, -1.015992
